id	message
ENTITIES_TOO_LONG	The entity provided contains data that is too long, or you passed too many entities to this message.
ENTITY_BOUNDS_INVALID	A specified [entity offset or length](https://core.telegram.org/api/entities#entity-length) is invalid, see [here »](https://core.telegram.org/api/entities#entity-length) for info on how to properly compute the entity offset/length.
ENTITY_MENTION_USER_INVALID	The mentioned entity is not an user.
ERROR_TEXT_EMPTY	The provided error message is empty.
EXPIRE_DATE_INVALID	The specified expiration date is invalid.
EXPIRE_FORBIDDEN	Expire forbidden.
EXPORT_CARD_INVALID	The provided card is invalid.
EXTENDED_MEDIA_AMOUNT_INVALID	The specified `stars_amount` of the passed [inputMediaPaidMedia](https://core.telegram.org/constructor/inputMediaPaidMedia) is invalid.
EXTENDED_MEDIA_PEER_INVALID	The specified chat type is invalid.
EXTENDED_MEDIA_TYPE_INVALID	The specified extended media type is unsupported.
EXTERNAL_URL_INVALID	The external media URL is invalid.
FEATURE_DISABLED	This feature is disabled.
FIELD_NAME_EMPTY	The field with the name FIELD_NAME is missing.
FIELD_NAME_INVALID	The field with the name FIELD_NAME is invalid.
FILE_CONTENT_TYPE_INVALID	File content-type is invalid.
FILE_EMTPY	An empty file was provided.
FILE_ID_INVALID	The provided file id is invalid.
FILE_MIGRATE_X	The file currently being accessed is stored in DC{value}, please re-send the query to that DC.
FILE_PARTS_INVALID	The number of file parts is invalid.
FILE_PART_0_MISSING	File part 0 missing.
FILE_PART_EMPTY	The provided file part is empty.
FILE_PART_INVALID	The file part number is invalid.
FILE_PART_LENGTH_INVALID	The length of a file part is invalid.
FILE_PART_SIZE_CHANGED	The part size is different from the size of one of the previous parts in the same file.
FILE_PART_SIZE_INVALID	The provided file part size is invalid.
FILE_PART_TOO_BIG	The uploaded file part is too big.
FILE_PART_TOO_SMALL	The size limit for the content of the file part has been exceeded.
FILE_PART_X_MISSING	Part {value} of the file is missing from storage. Try repeating the method call to resave the part.
FILE_REFERENCE_EMPTY	The file id contains an empty [file reference](https://core.telegram.org/api/file_reference), you must obtain a valid one by fetching the message from the origin context.
FILE_REFERENCE_EXPIRED	The file id contains an expired [file reference](https://core.telegram.org/api/file_reference), you must obtain a valid one by fetching the message from the origin context.
FILE_REFERENCE_INVALID	The file id contains an invalid [file reference](https://core.telegram.org/api/file_reference), you must obtain a valid one by fetching the message from the origin context.
FILE_REFERENCE_X_EXPIRED	The [file reference](https://core.telegram.org/api/file_reference) of the media file at index {value} in the passed media array expired, it must be refreshed.
FILE_REFERENCE_X_INVALID	The [file reference](https://core.telegram.org/api/file_reference) of the media file at index {value} in the passed media array is invalid.
FILE_TITLE_EMPTY	An empty file title was specified.
FILE_TOKEN_INVALID	The master DC did not accept the `file_token` (e.g., the token has expired). Continue downloading the file from the master DC using upload.getFile.
FILTER_ID_INVALID	The specified filter ID is invalid.
FILTER_INCLUDE_EMPTY	The list of include_peers of the folder is empty.
FILTER_INCLUDE_TOO_MUCH	You can't add more chats to this folder.
FILTER_NOT_SUPPORTED	The specified filter cannot be used in this context.
FILTER_TITLE_EMPTY	The title field of the filter is empty.
FIRSTNAME_INVALID	The first name is invalid.
FLOODSKIP_NOT_ALLOWED	You can't execute the specified action because in order to enable this feature [the following conditions](https://core.telegram.org/bots/faq#how-can-i-message-all-of-my-bot-39s-subscribers-at-once) must be satisfied.
FOLDER_ID_EMPTY	An empty folder ID was specified.
FOLDER_ID_INVALID	The specified folder id is invalid.
FORM_EXPIRED	The form was generated more than 10 minutes ago and has expired, please re-generate it using [payments.getPaymentForm](https://core.telegram.org/method/payments.getPaymentForm) and pass the new `form_id`.
FORM_ID_EMPTY	The specified form id is empty.
FORM_ID_EXPIRED	The specified form id has expired.
FORM_SUBMIT_DUPLICATE	The specified form is duplicated.
FORM_UNSUPPORTED	The specified form is unsupported. Please update your client.
FORUM_ENABLED	You can't execute the specified action because the group is a [forum](https://core.telegram.org/api/forum), disable forum functionality to continue.
FRESH_CHANGE_ADMINS_FORBIDDEN	You can't change administrator settings in this chat because your session was logged-in recently.
FROM_MESSAGE_BOT_DISABLED	Bots can't use fromMessage min constructors.
FROM_PEER_INVALID	The specified from_id is invalid.
FROZEN_PARTICIPANT_MISSING	The account is frozen and cannot access the chat participant.
GAME_BOT_INVALID	You cannot send that game with the current bot.
GENERAL_MODIFY_ICON_FORBIDDEN	You can't modify the icon of the "General" topic.
GEO_POINT_INVALID	Invalid geo point provided.
GIFT_SLUG_EXPIRED	The specified gift slug has expired.
GIFT_SLUG_INVALID	The specified slug is invalid.
GIF_CONTENT_TYPE_INVALID	GIF content-type invalid.
GIF_ID_INVALID	The provided animation id is invalid.
GRAPH_EXPIRED_RELOAD	This graph has expired, please obtain a new graph token.
GRAPH_INVALID_RELOAD	Invalid graph token provided, please reload the stats and provide the updated token.
GRAPH_OUTDATED_RELOAD	The graph is outdated, please get a new async token using stats.getBroadcastStats.
GROUPCALL_ALREADY_DISCARDED	The group call was already discarded.
GROUPCALL_FORBIDDEN	The group call has already ended.
GROUPCALL_INVALID	The specified group call is invalid.
GROUPCALL_JOIN_MISSING	You haven't joined this group call.
GROUPCALL_NOT_MODIFIED	Group call settings weren't modified.
GROUPCALL_SSRC_DUPLICATE_MUCH	The app needs to retry joining the group call with a new SSRC value.
GROUPED_MEDIA_INVALID	The album contains invalid media.
GROUP_CALL_INVALID	The group call is invalid.
HASHTAG_INVALID	The specified hashtag is invalid.
HASH_INVALID	The provided hash is invalid.
HIDE_REQUESTER_MISSING	The join request was missing or was already handled.
ID_EXPIRED	The passed prepared inline message ID has expired.
ID_INVALID	The passed ID is invalid.
IMAGE_PROCESS_FAILED	The server failed to process your image.
IMPORT_FILE_INVALID	The specified chat export file is invalid.
IMPORT_FORMAT_DATE_INVALID	The date specified in the import file is invalid.
IMPORT_FORMAT_UNRECOGNIZED	The specified chat export file was exported from an unsupported chat app.
IMPORT_ID_INVALID	The specified import id is invalid.
IMPORT_TOKEN_INVALID	The specified token is invalid.
INLINE_RESULT_EXPIRED	The inline bot query expired.
INPUT_CHATLIST_INVALID	The specified folder is invalid.
INPUT_CONSTRUCTOR_INVALID	The specified TL constructor is invalid.
INPUT_FETCH_ERROR	An error occurred while deserializing the provided TL constructor.
INPUT_FETCH_FAIL	Failed deserializing TL payload.
INPUT_FILE_INVALID	The specified [InputFile](https://core.telegram.org/type/InputFile) is invalid.
INPUT_FILTER_INVALID	The specified filter is invalid.
INPUT_LAYER_INVALID	The specified layer is invalid.
INPUT_METHOD_INVALID	The method invoked is invalid in the current schema.
INPUT_PEERS_EMPTY	The specified peer array is empty.
INPUT_REQUEST_TOO_LONG	The request payload is too long.
INPUT_STARS_NANOS_INVALID	The specified stars nano amount is invalid.
INPUT_TEXT_EMPTY	The specified text is empty.
INPUT_TEXT_TOO_LONG	The specified text is too long.
INPUT_USER_DEACTIVATED	The target user has been deleted/deactivated.
INVITES_TOO_MUCH	The maximum number of per-folder invites specified by the `chatlist_invites_limit_default`/`chatlist_invites_limit_premium` [client configuration parameters »](https://core.telegram.org/api/config#chatlist-invites-limit-default) was reached.
INVITE_FORBIDDEN_WITH_JOINAS	If the user has anonymously joined a group call as a channel, they can't invite other users to the group call because that would cause deanonymization, because the invite would be sent using the original user ID, not the anonymized channel ID.
INVITE_HASH_EMPTY	The invite hash is empty.
INVITE_HASH_EXPIRED	The invite link is no longer valid.
INVITE_HASH_INVALID	The invite hash is invalid.
INVITE_REQUEST_SENT	You have successfully requested to join this chat or channel.
INVITE_REVOKED_MISSING	The action required a chat invite link to be revoked first.
INVITE_SLUG_EMPTY	The specified invite slug is empty.
INVITE_SLUG_EXPIRED	The specified invite slug has expired.
INVITE_SLUG_INVALID	The specified invite slug is invalid.
INVOICE_INVALID	The specified invoice is invalid.
INVOICE_PAYLOAD_INVALID	The specified invoice payload is invalid.
JOIN_AS_PEER_INVALID	The specified peer cannot be used to join a group call.
LANGUAGE_INVALID	The specified lang_code is invalid.
LANG_CODE_INVALID	The specified language code is invalid.
LANG_CODE_NOT_SUPPORTED	The specified language code is not supported.
LANG_PACK_INVALID	The provided language pack is invalid.
LASTNAME_INVALID	The last name is invalid.
LIMIT_INVALID	The provided limit is invalid.
LINK_NOT_MODIFIED	The chat link was not modified because you tried to link to the same target.
LOCATION_INVALID	The provided location is invalid.
MAX_DATE_INVALID	The specified maximum date is invalid.
MAX_ID_INVALID	The provided max_id is invalid.
MAX_QTS_INVALID	The specified qts is invalid.
MD5_CHECKSUM_INVALID	The file's checksum did not match the md5_checksum parameter.
MEDIA_ALREADY_PAID	The specified paid media is already paid.
MEDIA_CAPTION_TOO_LONG	The media caption is too long.
MEDIA_EMPTY	The provided media you tried to send is invalid.
MEDIA_FILE_INVALID	The specified media file is invalid.
MEDIA_GROUPED_INVALID	You tried to send media of different types in an album.
MEDIA_INVALID	Media invalid.
MEDIA_NEW_INVALID	The new media to edit the message with is invalid.
MEDIA_PREV_INVALID	The previous media cannot be edited with anything else.
MEDIA_TTL_INVALID	The specified media TTL is invalid.
MEDIA_TYPE_INVALID	The specified media type cannot be used in stories.
MEDIA_VIDEO_STORY_MISSING	A non-story video cannot be repubblished as a story (emitted when trying to resend a non-story video as a story using inputDocument).
MEGAGROUP_GEO_REQUIRED	This method can only be invoked on a geogroup.
MEGAGROUP_ID_INVALID	The supergroup is invalid.
MEGAGROUP_PREHISTORY_HIDDEN	The action failed because the supergroup has the pre-history hidden.
MEGAGROUP_REQUIRED	The request can only be used with a supergroup.
MESSAGE_EDIT_TIME_EXPIRED	You can't edit this message anymore, too much time has passed since its creation.
MESSAGE_EMPTY	The message sent is empty or contains invalid characters.
MESSAGE_IDS_EMPTY	The requested message doesn't exist or you provided no message id.
MESSAGE_ID_INVALID	The provided message id is invalid.
MESSAGE_NOT_MODIFIED	The message was not modified because you tried to edit it using the same content.
MESSAGE_NOT_READ_YET	The specified message wasn't read yet.
MESSAGE_POLL_CLOSED	You can't interact with a closed poll.
MESSAGE_TOO_LONG	The provided message text is too long.
MESSAGE_TOO_OLD	The message is too old, the requested information is not available.
METHOD_INVALID	The specified API method is invalid and cannot be used.
MIN_DATE_INVALID	The specified minimum date is invalid.
MONOFORUM_FILTER_INVALID	The specified filter is invalid.
MSG_ID_INVALID	The message ID used in the peer was invalid.
MSG_TOO_OLD	chat_read_mark_expire_period have passed since the message was sent, read receipts were deleted.
MSG_VOICE_MISSING	The message does not contain a voice message.
MSG_WAIT_FAILED	A waiting call returned an error.
MTPROTO_CLUSTER_INVALID	The MTProto cluster is invalid.
MULTI_MEDIA_TOO_LONG	The album contains too many items.
NEW_SALT_INVALID	The new salt is invalid.
NEW_SETTINGS_EMPTY	No password is set on the current account, and no new password was specified in `new_settings`.
NEW_SETTINGS_INVALID	The new settings are invalid.
NEXT_OFFSET_INVALID	The next offset value is invalid.
NOGENERAL_HIDE_FORBIDDEN	The hidden parameter is only valid for the General topic message_thread_id=1.
NOT_ELIGIBLE	The current user is not eligible to join the Peer-to-Peer Login Program.
NOT_JOINED	The current user hasn't joined the Peer-to-Peer Login Program.
OFFSET_INVALID	The provided offset parameter is invalid.
OFFSET_PEER_ID_INVALID	The provided offset peer is invalid.
OPTIONS_TOO_MUCH	Too many poll options provided.
OPTION_INVALID	The option specified is invalid and does not exist in the target poll.
ORDER_INVALID	The specified username order is invalid.
PACK_SHORT_NAME_INVALID	Invalid sticker pack name. It must begin with a letter, can't contain consecutive underscores and must end in '_by_<bot username>'.
PACK_SHORT_NAME_OCCUPIED	A sticker pack with this name already exists.
PACK_TITLE_INVALID	The sticker pack title is invalid.
PARTICIPANTS_TOO_FEW	The chat doesn't have enough participants.
PARTICIPANT_ID_INVALID	The specified participant ID is invalid.
PARTICIPANT_JOIN_MISSING	Trying to enable a presentation, when the user hasn't joined the Video Chat with [phone.joinGroupCall](https://core.telegram.org/method/phone.joinGroupCall).
PARTICIPANT_VERSION_OUTDATED	The other participant is using an outdated Telegram app version.
PASSWORD_EMPTY	The provided password is empty.
PASSWORD_HASH_INVALID	The two-step verification password is invalid.
PASSWORD_MISSING	You must [enable 2FA](https://core.telegram.org/api/srp) before executing this operation.
PASSWORD_RECOVERY_EXPIRED	The recovery code has expired.
PASSWORD_RECOVERY_NA	No email was set, can't recover password via email.
PASSWORD_REQUIRED	The two-step verification password is required for this method.
PASSWORD_TOO_FRESH_X	The two-step verification password was modified less than 24 hours ago, try again in {value} seconds.
PAYMENT_PROVIDER_INVALID	The payment provider was not recognised or its token was invalid.
PAYMENT_REQUIRED	The payment is required.
PEERS_LIST_EMPTY	The specified list of peers is empty.
PEER_FLOOD	The current account is limited, you cannot execute this action, check @spambot for more info.
PEER_HISTORY_EMPTY	You can't pin an empty chat with a user.
PEER_ID_INVALID	The peer id being used is invalid or not known yet. Make sure you meet the peer before interacting with it.
PEER_ID_NOT_SUPPORTED	The provided peer id is not supported.
PEER_TYPES_INVALID	The passed [keyboardButtonSwitchInline](https://core.telegram.org/constructor/keyboardButtonSwitchInline).`peer_types` field is invalid.
PERSISTENT_TIMESTAMP_EMPTY	The pts argument is empty.
PERSISTENT_TIMESTAMP_INVALID	The persistent timestamp is invalid.
PHONE_CODE_EMPTY	The phone code is missing.
PHONE_CODE_EXPIRED	The provided confirmation code has expired. Make sure you haven't sent it to anyone else and use the code on the same connection.
PHONE_CODE_HASH_EMPTY	The phone code hash is missing.
PHONE_CODE_INVALID	The provided confirmation code is invalid.
PHONE_HASH_EXPIRED	An invalid or expired phone code hash was provided.
PHONE_NOT_OCCUPIED	No user is associated to the specified phone number.
PHONE_NUMBER_APP_SIGNUP_FORBIDDEN	You can't sign up using this app.
PHONE_NUMBER_BANNED	The specified phone number is banned from Telegram and cannot be used.
PHONE_NUMBER_FLOOD	This number has tried to login too many times.
PHONE_NUMBER_INVALID	The phone number is invalid.
PHONE_NUMBER_OCCUPIED	The phone number is already in use.
PHONE_NUMBER_UNOCCUPIED	The phone number is not yet being used.
PHONE_PASSWORD_PROTECTED	This phone is password protected.
PHOTO_CONTENT_TYPE_INVALID	The photo content type is invalid.
PHOTO_CONTENT_URL_EMPTY	The photo content URL is empty.
PHOTO_CROP_FILE_MISSING	Photo crop file missing.
PHOTO_CROP_SIZE_SMALL	Photo is too small.
PHOTO_EXT_INVALID	The extension of the photo is invalid.
PHOTO_FILE_MISSING	Profile photo file missing.
PHOTO_ID_INVALID	Photo ID invalid.
PHOTO_INVALID	Photo invalid.
PHOTO_INVALID_DIMENSIONS	The photo dimensions are invalid.
PHOTO_SAVE_FILE_INVALID	The photo you tried to send cannot be saved by Telegram.
PHOTO_THUMB_URL_EMPTY	The photo thumbnail URL is empty.
PHOTO_THUMB_URL_INVALID	The photo thumb URL is invalid.
PINNED_DIALOGS_TOO_MUCH	Too many pinned dialogs.
PINNED_TOPIC_NOT_MODIFIED	The pinned topic was not modified.
PIN_RESTRICTED	You can't pin messages in private chats with other people.
PLATFORM_INVALID	The provided platform is invalid. Allowed values are "android", "ios", "wp", "bb", "desktop", "web", "ubp", "other".
POLL_ANSWERS_INVALID	Invalid poll answers were provided.
POLL_ANSWER_INVALID	One of the poll answers is not acceptable.
POLL_OPTION_DUPLICATE	A duplicate option was sent in the same poll.
POLL_OPTION_INVALID	IA poll option used invalid data (the data may be too long).
POLL_QUESTION_INVALID	The poll question is invalid.
POLL_UNSUPPORTED	This layer does not support polls in the invoked method.
POLL_VOTE_REQUIRED	Cast a vote in the poll before calling this method.
PRECHECKOUT_FAILED	Precheckout failed.
PREMIUM_ACCOUNT_REQUIRED	A premium account is required to execute this action.
PREMIUM_GIFTCODE_WAS_REFUNDED	This gift code can't be redeemed because the giveaway organizer requested a refund.
